ID	index	answer	text	label
82	82	aerosol	What type of transmission of novel coronavirus has been demonstrated in recent studies?	0
83	83	aerosol transmission	What is an extremely rare mode of transmission for non-medical personnel?	0
84	84	disinfection treatment of sewage in the sewer system	What should be done to patients with confirmed or suspected cases of novel coronavirus?	0
85	85	novel coronavirus infection in newborns	What has been identified following several cases of novel coronavirus infection in children?	0
86	86	Tongji Hospital	Where were two cases of novel coronavirus pneumonia diagnosed?	0
87	87	vertical	What type of transmission does novel coronavirus have?	0
88	88	"the ""China-WHO Joint Expedition Report on Novel Coronavirus Pneumonia (COVID-19)"""	What did the National Health Commission publish on February 29?	0
89	89	a replicating virus in the intermediate host	What is the isolation of an intermediate host of novel coronavirus?	0
90	90	the current study has not been able to identify the intermediate host of this novel coronavirus and further scientific studies are needed	What does the current study have not been able to identify the intermediate host of novel coronavirus?	0
91	91	"fever, malaise, and dry cough"	What is novel coronavirus pneumonia characterized by?	0
92	92	"nasal congestion, runny nose and diarrhea"	What are some of the symptoms of novel coronavirus pneumonia?	0
93	93	dyspnea	What is the most common form of novel coronavirus pneumonia?	0
94	94	mild form	What type of illness is only present with low-grade fever and mild malaise?	0
95	95	imaging signs of pneumonia	What are patients with the common type of novel coronavirus?	0
96	96	respiratory distress and/or hypoxemia	What are the symptoms of novel coronavirus pneumonia?	0
97	97	moderate to low fever	What may a small number of patients with severe and critical illnesses have during the course of the disease?	0
98	98	1 week	How long does novel coronavirus pneumonia usually recover?	0
99	99	1 to 14 days	How long is the incubation period of novel coronaviruses?	0
100	100	infectious	What is the incubation period of novel coronavirus pneumonia?	0
101	101	"headache, nasal congestion, sneezing and coughing"	What are the symptoms of novel coronavirus pneumonia?	0
102	102	there is actually a clear difference between them	What is the difference between novel coronavirus and influenza?	0
103	103	fever	What is the axillary body temperature 37.3掳C?	0
104	104	a mask	What should you wear during the journey to the doctor?	0
105	105	detailed account	What should you give to the doctor about your illness and the process of seeking medical attention?	0
106	106	your history of contact with patients or suspected patients with pneumonia	What is the name of the history of travel and residence in Wuhan?	0
107	107	Home environment	What do you refer to before and after seeking medical attention?	0
108	108	Home precautions	What do you refer to to clean and disinfect the surrounding environment?	0
109	109	the nurse	Who will measure the temperature for a temperature above 37.3掳C?	0
110	110	"routine blood tests, liver and kidney functions, cardiac enzymes, and X-ray chest radiographs"	What does the doctor arrange for for patients with fever and an epidemiological history?	0
111	111	a specialist	Who will ask for a consultation if novel coronavirus pneumonia is suspected?	0
112	112	febrile	What type of patient will be placed in isolation for observation?	0
113	113	a designated hospital	"If novel coronavirus pneumonia is suspected, the hospital will refer the patient to what?"	0
114	114	Designated hospitals and fever clinics	What is the name of the hospital that is responsible for the diagnosis of novel coronavirus pneumonia?	0
115	115	fever clinics	What is the list of designated hospitals and what is found on the official websites of provincial and municipal health care commissions?	0
116	116	Routine review patients	What is recommended for patients with routine review of malignant tumors to delay the review without affecting the prognosis of the disease?	0
117	117	moderately defer surgical treatment	What should patients with benign tumors and patients in remission of malignant tumors undergo after comprehensive treatment?	0
118	118	chemotherapy	What type of period are patients in?	0
119	119	chemotherapy	What type of treatment is recommended for patients with postoperative adjuvant?	0
120	120	synchronous chemotherapy	What can be moderately delayed for patients with radiotherapy?	0
121	121	radiotherapy	What should be done for patients who are ready to start?	0
122	122	Immunotherapy	What type of treatment is still possible after rigorous evaluation?	0
123	123	"the medical team should be informed as soon as possible, please do not cope with the occurrence of adverse reactions alone"	"If adverse reactions occur, what should the medical team be informed as soon as possible?"	0
124	124	Severe vomiting and diarrhea	What can lead to dehydration and endanger life?	0
125	125	"strengthen self-management, treat and manage existing chronic diseases as required"	What should patients with stable chronic diseases do?	0
126	126	"take them on time, closely observe the change of symptoms and progress of the chronic disease they have, and strengthen the contact with the doctor"	What should you do to help patients with stable chronic diseases?	0
127	127	hypertension	Patients with what type of hypertension should have their blood pressure measured daily?	0
128	128	diabetes	What type of diabetes should self-monitor their blood glucose and blood pressure?	0
129	129	systolic blood pressure	What is the blood pressure of a patient with diabetes?	0
130	130	"make appointments and preparations, and familiarize yourself with the hospital department layout and step-by-step procedures to reduce the consultation time"	What should you do when going to the hospital?	0
131	131	N95	What is the name of the medical surgical mask that should be worn throughout the journey to the hospital and in the hospital?	0
132	132	avoid taking public transportation to the hospital	"If possible, what should you do to avoid taking public transportation to the hospital?"	0
133	133	a portable alcohol-based hand sanitizer	What should be used to maintain hand hygiene at all times?	0
134	134	1 meter	How much distance is there between people while on the road and in the hospital?	0
135	135	contaminated	What type of transportation should be disinfected with a chlorinated disinfectant or peracetic acid disinfectant?	0
136	136	"touching your mouth, nose and eyes with your hands"	What should be avoided when sneezing or coughing?	0
137	137	cover your mouth and nose with a tissue or elbow	What should you do when sneezing or coughing?	0
138	138	hand disinfectant	What should you use after touching hospital items?	0
139	139	"do not touch your mouth, nose or eyes with your hands"	What should you do if you cannot disinfect your hands in time?	0
140	140	reduce the length of stay in the hospital as much as possible	What can you do during hospital visits?	0
141	141	"wash your hands carefully with running water, wash your clothes as soon as possible, and treat them with 84 disinfectant first if possible"	What do you need to do to treat a patient with 84 disinfectant first if possible?	0
142	142	fever clinic	Where should individuals with suspected symptoms seek medical attention as soon as possible?	0
143	143	Close contacts and suspected exposed persons	What are close contacts and suspected exposures subject to isolation for medical observation?	0
144	144	the following	What is the name of the person who has had close contact with the source of infection?	0
145	145	"Health care workers who treat and care for the patient, relatives and friends who visit the patient, or other persons who have had close contact with the patient"	What is the name of the health care workers who treat and care for the patient?	0
146	146	the same transport with close contact	What type of transport does the patient travel on?	0
147	147	passengers and crew members	Who are considered likely to have close contact with the patient?	0
148	148	Field investigators investigated and assessed to be in line with other persons in contact with close contacts	What type of investigators investigated and assessed to be in line with other persons in contact with close contacts?	0
149	149	wildlife	What is a test positive for novel coronavirus and its contaminated articles and environment?	0
150	150	Self-isolation methods	What are the following types of methods?	0
151	151	"Place the isolated person in a well-ventilated, separate room"	What should the caregiver maintain a distance of at least 1 meter from close contacts?	0
152	152	1 meter	What distance should the caregiver maintain from close contacts?	0
153	153	masks	What should family members wear when entering the isolated person's activity space?	0
154	154	Deny visits from people inside or outside the family	What should family members wear masks when entering the isolated person's activity space?	0
155	155	toilets and bathrooms	What are shared areas that are well ventilated?	0
156	156	well ventilated	What should be done to limit the range of movement of isolated persons?	0
157	157	spit	Do not cover your mouth and nose with a tissue or elbow sleeve when coughing or sneezing?	0
158	158	Wash your hands regularly	"Do not spit, and cover your mouth and nose with a tissue or elbow sleeve when coughing or sne"	0
159	159	disposable hand wipes	What should be used when washing hands with soap and water?	0
160	160	"cell phones, remote controls, utensils and towels"	What are some of the supplies that are used by close contacts?	0
161	161	public supplies	What should be disinfected when a person is isolated?	0
162	162	chlorinated disinfectants and peroxyacetic acid disinfectants	What should be used to clean and disinfect the home?	0
163	163	clean and disinfect the home environment	What do disposable gloves and masks do?	0
164	164	Keep the home environment clean	What should a person do to clean and disinfect the home?	0
165	165	"fever, cough, sore throat, and difficulty breathing or diarrhea"	What are some of the symptoms of acute respiratory infections?	0
166	166	a mask	What should Isolated persons wear when they develop symptoms?	0
167	167	120	How many people can you call to the hospital?	0
168	168	wash their hands promptly	What should all personnel who come into contact with the sick person and medical personnel do?	0
169	169	99	How many parts of the vehicle should be disinfected promptly?	0
170	170	14 days	"How long can the observed subjects resume normal school, work and life after the observation period?"	0
171	171	stop self-isolating at home	What should close contacts and suspected exposures do?	0
172	172	dyspnea	"What is the presence of chest tightness, breath-holding, and shortness of breath that worsens with activity?"	0
173	173	"drowsiness, talking nonsense, confusion between day and night"	What are some of the problems with consciousness?	0
174	174	Diarrhea	What is the name of the problem with consciousness?	0
175	175	over 39掳C	What is the temperature of high fever?	0
176	176	suspicious	What type of symptoms do other family members show?	0
177	177	Peking Union Medical College Hospital	"Where is the latest version of the recommended protocol for the treatment of ""novel coronavirus pneumonia"" located?"	0
178	178	Novel Coronavirus Pneumonia Treatment Protocol	What is the latest version of the National Health Commission's protocol?	0
179	179	fifteen	How many words can Universal precautions be summarized?	0
180	180	Wearing a mask	What is the name of the mask that is used to treat novel coronavirus pneumonia?	0
181	181	novel coronavirus pneumonia	What is one of the most important ways to prevent respiratory infections?	0
182	182	"paper masks, cotton masks, sponge masks, activated charcoal masks"	What types of masks work?	0
183	183	N95	What type of masks can you choose?	0
184	184	When to wear a mask	When should you go out and have contact with others?	0
185	185	confined or crowded space	What type of space should you stay in for a long time?	0
186	186	a mask	What is the best way to choose a medical surgical mask?	0
187	187	KN95/N95	What is the name of the mask that can be worn above particulate protection masks?	0
188	188	Special populations	What type of population is recommended to wear medical protective masks and goggles?	0
189	189	a medical professional	Who should patients with certain cardiopulmonary diseases consult before wearing a medical surgical mask?	0
190	190	medical surgical mask	What is a medical surgical mask?	0
191	191	YY 0469 a 2011	What year did the product identification on the outer packaging comply with?	0
192	192	water-blocking	What effect prevents droplets from entering the mask to the inside?	0
193	193	mask	How do special people wear a medical surgical mask?	0
194	194	within the expiration date	What is the expiration date for a medical surgical mask?	0
195	195	dark side facing out	What is a fold facing down?	0
196	196	"the mouth, nose and jaw"	What do the folds up and down so that the mask covers?	0
197	197	nasal bridge	How do the fingertips of both hands go along the metal strip of the medical surgical mask?	0
198	198	the perimeter of the mask fits the face adequately	How do women wear a medical protective mask?	0
199	199	medical protective mask	What are the steps for wearing a mask?	0
200	200	Check the expiration date of the mask and the outer packaging	What are the steps for wearing a medical protective mask?	0
201	201	convex	What side of the mask is facing outward?	0
202	202	lower lacing	What is the first step to set the upper lacing?	0
203	203	Touch the fingertips of both hands inward to press the nasal clip and gradually move outward to shape the clip	How do the fingertips of both hands inward press the nasal clip and gradually move outward to shape the clip?	0
204	204	air leakage	What happens when blowing and inhaling?	0
205	205	ties	What is discarded in the medical garbage can?	0
206	206	masks	How do special people wear medical surgical masks?	0
207	207	Pregnant women	Who should pay attention to their own conditions and choose products with better comfort?	0
208	208	a doctor	Who should seek professional guidance from?	0
209	209	children's protective masks	What should children choose when they are in the growth and development stage?	0
210	210	replace it immediately	"If the mask is wet or soiled by secretions and the protective performance is reduced, it is recommended to what?"	0
211	211	the degree of cleanliness	What does the public decide to use the masks for a longer period of time?	0
212	212	the correct way	How should the mask be removed after wearing?	0
213	213	disposable	What type of mask is not recommended?	0
214	214	"dust, bacteria and viruses"	What accumulated on the outer layer of the mask may contaminate the inner surface and cause infection?	0
215	215	in a clean self-sealing bag	What should the mask be folded in to avoid contamination of the inside of the mask?	0
216	216	wash your hands in time	What should you do after taking off the mask?	0
217	217	"when they are deformed, wet or soiled"	When are the masks worn by healthy people usually replaced?	0
218	218	household waste classification	What is the requirement for the disposed of masks?	0
219	219	medical waste	What should the masks worn by suspected cases or confirmed patients be treated as?	0
220	220	water or alcohol	What should the masks never be washed with?	0
221	221	Cutting and shredding	What is not recommended for handling?	0
222	222	increase the risk of viral infection	Do not use boiling water to scald the mask?	0
223	223	a long time	How long does it take to avoid skin damage when wearing a mask?	0
224	224	shoddy products	What should children avoid using when wearing a mask for a long time?	0
225	225	hand disinfection	What is essential to wash your hands regularly?	0
226	226	after coughing and sneezing	When should you wash your hands?	0
227	227	alcohol	What does a no-rinse hand sanitizer contain?	0
228	228	20 seconds	How long should rubbing time be?	0
229	229	to effectively remove pathogenic bacteria	What do you need to wash your hands with water?	0
230	230	soap	What type of soap should be kept clean and dry?	0
231	231	disposable packages	What is the best way to use hand sanitizer?	0
232	232	30 days	How long is the expiration date of the alcohol-based hand sanitizer?	0
233	233	Hand washing steps	What should be done correctly?	0
234	234	Wet your hands under running water	How do you wash your hands?	0
235	235	hand sanitizer	What should you use to wash your hands?	0
236	236	15 seconds	How long should you rub hands?	0
237	237	Rinse hands thoroughly under running water	How do you wash your hands?	0
238	238	diligent ventilation	What do you need to maintain a clean living and working environment?	0
239	239	30 minutes	How long does the temperature difference between indoors and outdoor?	0
240	240	circulating air disinfection machines	What type of machines are recommended to be used with windows and doors closed?	0
241	241	monthly	How often should air conditioning filters and filters be cleaned and disinfected?	0
242	242	30 minutes	How long is a chlorine disinfection solution sprayed until wet?	0
243	243	"third, fourth, fifth and sixth"	The cleaning and disinfection methods for different environments can be referred to the relevant contents of what parts of this chapter?	0
244	244	visit friends and relatives and gather less	What should you do during the Spring Festival?	0
245	245	wear a mask	What should you do when you go out?	0
246	246	(1) Wearing a mask	"What is the title of ""I. General precautions""?"	0
247	247	Wash your hands regularly	"What can be found in ""(2) Washing hands regularly"" in this chapter?"	0
248	248	Hand washing	"What can be found in ""(2) Washing hands regularly"" in this chapter?"	0
249	249	diligent ventilation	"What type of ventilation can be found in the chapter ""I. General preventive measures""?"	0
250	250	(3) diligent ventilation	"What is the name of the ""I. General preventive measures""?"	0
251	251	cover your mouth and nose with tissues or clothing	What should you do when coughing or sneezing?	0
252	252	"toothbrushes, tableware, meals, drinks, towels, bath towels, bed sheets, etc"	What are some of the items that you can share with others?	0
253	253	"disinfect dishes, furniture, floors, etc., and dry clothes and blankets regularly"	What type of items do you regularly share with others?	0
254	254	game	"What is the name of wild animals that do not touch, buy and eat?"	0
255	255	N95	What type of masks do you need to keep supplies at home?	0
256	256	During the leave	"When do you eat lightly, pay attention to nutrition and exercise properly?"	0
257	257	fever clinic	"Where do you go to if you have symptoms such as fever, malaise, cough, sore throat, chest tightness, dyspne"	0
258	258	2	In what chapter can medical attention be found?	0
259	259	level of personal protection	What do you need to refer to the following table for?	0
260	260	good ventilation	What should a family have indoors during disease epidemics?	0
261	261	colds	"When opening windows in winter, attention needs to be paid to what?"	0
262	262	hand sanitizer and running water	What do you need to wash your hands after coming home?	0
263	263	"The floor, desktop, furniture and other object surfaces"	What are cleaned well every day and disinfected regularly?	0
264	264	75%	"What percentage of alcohol is used to wipe metal, electrical appliances and other non-corrosive resistant object surfaces?"	0
265	265	15 minutes	"How long can water cups, tableware and other utensils be disinfected?"	0
266	266	500mg/L	What is the effective chlorine content of disinfectant?	0
267	267	a timely manner	In what manner should a guest visit the room for disinfection?	0
268	268	"latex or nitrile gloves, waterproof aprons"	What type of gloves should be worn during disinfection?	0
269	269	expiration date and dilution ratio	What is the name of the date and dilution ratio of the disinfectant?	0
270	270	2	What is the name of a family member who shows suspicious symptoms?	0
271	271	"living room floor, bathroom, furniture countertops, door handles, eating utensils, etc."	What is the name of the contact items that should be disinfected after a visit to the doctor?	0
272	272	after the patient leaves	"When a patient with novel coronavirus infection is present in the home, final disinfection should be performed?"	0
273	273	Center for Disease Control and Prevention	Who does terminal disinfection carry out?	0
274	274	14 days	How long should a family member be under medical observation?	0
275	275	private cars	What type of cars do not need to disinfection treatment?	0
276	276	temperature difference	"When opening windows in winter, do not cause a cold?"	0
277	277	underground parking lot	In what area is it recommended to close the windows and open the air conditioning internal circulation way to ventilation?	0
278	278	hand sanitizer	What is recommended for hand hygiene after entering a public place and returning to the vehicle?	0
279	279	a legal and effective disinfectant or disinfectant wipes for disinfection	What is the best way to disinfect objects in a vehicle?	0
280	280	disinfectant wipes	What do Object surfaces need to be disinfected with?	0
281	281	hand and skin	What types of disinfectants are used for?	0
282	282	a medical surgical mask	What should a person wear when riding in a private car?	0
283	283	a person with suspicious symptoms gets out of the car	When does a person with suspicious symptoms get out of the car?	0
284	284	after riding in the private car with novel coronavirus infection	What should the final disinfection of the private car be done after the patient gets out of the car?	0
285	285	object surfaces	What is the scope of final disinfection for private cars?	0
286	286	air conditioning systems	What is the scope of final disinfection for private cars?	0
287	287	Chlorine dioxide	What is the recommended disinfectant for private cars?	0
288	288	CDC agencies	Who is responsible for the specific disinfection method?	0
289	289	14 days	How long should a co-passenger be under medical observation?	0
290	290	"5"""	What document requirements did the State Council issue?	0
291	291	novel coronavirus infection	What is a work plan on community prevention and control of pneumonia outbreak?	0
292	292	I	What is the name of the work plan for Novel Coronavirus Infection?	0
293	293	"Party and government-led, community mobilization, the implementation of grid-based, carpet management, the prevention and control measures to the letter"	What are the work requirements of the State Council?	0
294	294	"early detection, early reporting, early isolation, early diagnosis, early treatment"	"What principle is implemented in the community to do a good job in the new coronavirus infection detection, prevention and control and emergency response work?"	0
295	295	II	What is the definition of Community Community?	0
296	296	urban and rural communities	What do Relevant definitions of Community Community refer to?	0
297	297	street offices or township people's governments	What are the relevant definitions of Community Community?	0
298	298	B	What is the name of the community outbreak division 1?	0
299	299	No cases were found in the community	How many cases of pneumonia were found in the community?	0
300	300	no confirmed cases of pneumonia with novel coronavirus infection were found among the community residents	What is the definition of Community Community?	0
301	301	2	How many cases are there in the community?	0
302	302	cases or outbreaks	What are there in the community?	0
303	303	pneumonia	What is a case in the community defined as the presence of in a community population that has not yet had a sequel case?	0
304	304	2 or more confirmed cases in a small area	What is an outbreak defined as the discovery of within 14 days?	0
305	305	14 days	How long is an outbreak in the community?	0
306	306	Community transmission outbreak	What is the name of the outbreak in the community?	0
307	307	14 days	"In the community, there are two or more cases of infection of unknown origin within what time period?"	0
308	308	division of the epidemic area	What is the definition of the epidemic point?	0
309	309	Epidemic site	What is the division of the epidemic area?	0
310	310	3 days before the onset of the disease	How long before the onset of the disease are places visited by the patient?	0
311	311	"one or several households, one or several offices, train or bus cars, the same flight, the same ward, the same building, etc"	What is an outbreak site generally defined as?	0
312	312	the Law of the People's Republic of China on the Prevention and Control of Infectious Diseases	What is the law of the People's Republic of China on the Prevention and Control of Infectious Diseases?	0
313	313	close contacts	What is the case after the onset of one of the following exposure scenarios?	0
314	314	working in close proximity to the case or sharing the same classroom or living in the same house as the case	"What are people who live, study, work with the case or otherwise have close contact?"	0
315	315	"medical staff, family members or other persons who have similar close contact with the case"	What are people who have close contact with the case?	0
316	316	travel on the same means of transport as the case	What is the name of the person who has close contact with the patient?	0
317	317	close contact	What are passengers and crew members found to be in contact with the patient after investigation and assessment?	0
318	318	The site investigator	Who investigates and evaluates the personnel who are deemed to be in contact with other close contacts?	0
319	319	environmental health management	What is one of the most important measures in the community?	0
320	320	street (township) and community (village)	What are the main focus of community health services centers and family doctors?	0
321	321	health	What is the name of the first person responsible for?	0
322	322	sentinel hospitals	Where do those with novel coronavirus infections go?	0
323	323	Daily information	What is released to suggest travel and travel risks?	0
324	324	4	What is the name of the management of returnees from infected areas?	0
325	325	14 days	How long should people self-isolate?	0
326	326	follow-up observation	What should be done during the isolation period?	0
327	327	environmental remediation	What is the main objective of the community's comprehensive vector-biological prevention and control?	0
328	328	Timely	What is the organization of comprehensive vector control and extermination?	0
329	329	Material preparation	What does the community stock up on essential prevention and control items and supplies?	0
330	330	close contact management and disinfection	"What is the strategy of ""internal prevention of spread and external prevention of export""?"	0
331	331	Close contact management	What is the name of the management of infected areas?	0
332	332	centralized observation	What should be clearly defined where available?	0
333	333	monitor changes in their own situation more sensitively and keep records	What should the observation subjects do?	0
334	334	isolation control and transfer of patients to designated hospitals	What are the preparations for?	0
335	335	disinfected public places	What should the CDC clean?	0
336	336	8 measures	"How many measures does the strategy of ""internal prevention of spread and external prevention of export"" include?"	0
337	337	blockade	Blockade of infected areas: Communities classified as infected areas may take measures to what?	0
338	338	"Restrict or stop activities such as fairs, rallies and other gatherings of people in the community"	What is the purpose of limiting the gathering of people?	0
339	339	"suspend work, business and classes"	"What should be done if necessary to stop activities such as fairs, rallies and other gatherings of people in the community?"	0
340	340	leave or contact the hospital promptly	What should staff ask if suspicious symptoms of novel coronavirus infection are detected?	0
341	341	Maintain air circulation in public places	What is the purpose of maintaining air circulation in public places?	0
342	342	air conditioning filter	What should be cleaned regularly?	0
343	343	hand sanitizer	What should washrooms be equipped with to ensure that water supply facilities are working properly?	0
344	344	disinfection spray	What is used to disinfect the air when necessary?	0
345	345	Keep the environment clean and clear the garbage in time	What should be done to keep the environment clean?	0
346	346	avoiding places with heavy traffic and poor air circulation	What should the public do in areas where the disease is endemic?	0
347	347	Workplace Commuting to and from work	What is a good way to avoid heavy traffic and poor air circulation?	0
348	348	"walk, ride or take private cars or shuttles to and from work"	What is the best way to avoid public transportation?	0
349	349	public trams	What type of trams are preferred if you have to take public transportation?	0
350	350	a mask	What should you wear during the journey?	0
351	351	touching objects in the car with your hands	What should be avoided during the journey?	0
352	352	after removing the mask	"When you leave work, wash your hands and wear a disposable medical mask?"	0
353	353	75%	What percentage of alcohol is used to wipe your cell phone and keys?	0
354	354	multi-person gatherings	What should you avoid when you leave work?	0
355	355	disinfected	What do public areas and air conditioners need to be disinfected daily?	0
356	356	to avoid mixing	What should the cleaning utensils used in each area be separated?	0
357	357	spray	What type of disinfection should be carried out?	0
358	358	Central air conditioning system fan coils	What do regular disinfection of the air supply and return air outlets do?	0
359	359	the exhaust branch	What should be closed after the evacuation of personnel?	0
360	360	return air	What should be completely closed the return air to ensure that the system runs with all fresh air?	0
361	361	disinfect the garbage cans twice a day with 75% alcohol or chlorine-containing disinfectant	"Do hand hygiene before and after taking off masks, put discarded masks in the garbage cans, and what?"	0
362	362	temperature test	What should you do before entering the office building?	0
363	363	low	What type of floors can passengers take the stairs on foot?	0
364	364	toilet paper	What do elevators carry with you?	0
365	365	toilet paper	What do elevators need to be disposed properly after use?	0
366	366	Stand on both sides of the hall door while waiting for the elevator	What do you need to do to avoid touching the passengers coming out of the elevator car face to face?	0
367	367	press the button outside the elevator hall	What do passengers do to prevent the elevator from closing?	0
368	368	more than one stranger	How many strangers should you avoid riding in the elevator?	0
369	369	wait patiently for the next elevator	What can a passenger do to avoid riding in the elevator with more than one stranger?	0
370	370	to carry things and reduce the contact between your belongings and the elevator car	What should you do to avoid riding in the elevator with more than one stranger?	0
