hypertension	What type of condition should have their blood pressure measured daily?
diabetes	What type of diabetes should self-monitor their blood glucose and blood pressure?
systolic blood pressure	What type of blood pressure should be checked by a doctor if you have diabetes?
"make appointments and preparations, and familiarize yourself with the hospital department layout and step-by-step procedures to reduce the consultation time"	What should patients do before going to the hospital?
N95	Patients and their families should wear a medical surgical mask or what type of mask?
avoid taking public transportation to the hospital	What should patients do if possible?
a portable alcohol-based hand sanitizer	What should patients have available when they go to the hospital?
1 meter	What is the minimum distance between people in a hospital?
contaminated	What type of transportation should be disinfected while on the road?
"touching your mouth, nose and eyes with your hands"	What should patients avoid as much as possible?
cover your mouth and nose with a tissue or elbow	What should you do when sneezing or coughing?
hand disinfectant	What should you use after touching hospital items?
"do not touch your mouth, nose or eyes with your hands"	What should you do if you can't disinfect your hands in time?
reduce the length of stay in the hospital as much as possible	What should patients do during hospital visits?
"wash your hands carefully with running water, wash your clothes as soon as possible, and treat them with 84 disinfectant first if possible"	What should you do after returning home from the hospital?
fever clinic	Where should people with suspected symptoms seek medical attention?
Close contacts and suspected exposed persons	What are subject to isolation for medical observation?
the following	What is a close contact with the source of infection?
"Health care workers who treat and care for the patient, relatives and friends who visit the patient, or other persons who have had close contact with the patient"	Who is considered to be a close contact with the source of infection?
the same transport with close contact	What type of transport does the patient travel on?
passengers and crew members	Who are considered likely to have close contact with the patient?
Field investigators investigated and assessed to be in line with other persons in contact with close contacts	What are field investigators considered to be?
wildlife	What are suspected exposed persons exposed to that tests positive for coronavirus and its contaminated articles and environment?
Self-isolation methods	What is one method used to isolate a suspected exposed person?
"Place the isolated person in a well-ventilated, separate room"	What should the caregiver do with the isolated person?
1 meter	How much distance should a caregiver keep from close contacts?
masks	What should family members wear when entering the isolated person's activity space?
Deny visits from people inside or outside the family	What should a caregiver do when visiting an isolated person?
toilets and bathrooms	What shared areas should be well ventilated?
well ventilated	What should shared areas be?
spit	Do not do what to an isolated person?
Wash your hands regularly	What should a caregiver do with an isolated person?
disposable hand wipes	What is the best way to wash hands with soap and water?
"cell phones, remote controls, utensils and towels"	What supplies should be avoided by close contacts?
public supplies	"Tables, chairs and door handles are examples of what?"
chlorinated disinfectants and peroxyacetic acid disinfectants	What are two disinfectants that a caregiver should use for an isolated person?
clean and disinfect the home environment	What should an isolated person wear good disposable gloves and masks to do?
Keep the home environment clean	What should a caregiver do to help an isolated person?
"fever, cough, sore throat, and difficulty breathing or diarrhea"	What are some symptoms of acute respiratory infections?
a mask	What should an isolated person wear?
120	What is the number to call if you need to go to the hospital?
wash their hands promptly	What should all personnel who come into contact with a sick person do?
99	How many parts water should be added to the bleach to disinfect the vehicle?
14 days	How long is the observation period?
stop self-isolating at home	What should close contacts and suspected exposures do?
dyspnea	"What is chest tightness, breath-holding, and shortness of breath that worsens with activity?"
"drowsiness, talking nonsense, confusion between day and night"	What are some problems with consciousness?
Diarrhea	What is the most common symptom of new coronavirus pneumonia?
over 39°C	What is the maximum temperature of fever?
suspicious	What type of symptoms do other family members show of a new coronavirus infection?
Peking Union Medical College Hospital	"Where is the latest version of the recommended protocol for the treatment of ""novel coronavirus pneumonia"" located?"
Novel Coronavirus Pneumonia Treatment Protocol	What is the latest version of the National Health Commission's protocol?
fifteen	How many words can universal precautions be summarized in?
Wearing a mask	What is one of the basic precautions for the treatment of new coronavirus pneumonia?
novel coronavirus pneumonia	What respiratory infection is wearing a mask one of the most important means of preventing?
"paper masks, cotton masks, sponge masks, activated charcoal masks"	What types of masks do not work?
N95	What type of masks can you choose?
When to wear a mask	What should you wear when you go out and have contact with others?
confined or crowded space	Where should you wear a mask for a long time?
a mask	What should you wear when you go out and have contact with others?
KN95/N95	What type of masks can the general public wear?
Special populations	Who is recommended to wear medical protective masks and goggles?
a medical professional	Who should patients with cardiopulmonary diseases consult before wearing a mask?
medical surgical mask	What is the name of the mask that is used to prevent respiratory infections?
YY 0469 a 2011	What does the product performance need to comply with?
water-blocking	What effect does the outer layer of a medical surgical mask have?
mask	What do special people wear?
within the expiration date	What should you check before wearing a medical surgical mask?
dark side facing out	What should the nose clip side of the medical surgical mask be?
"the mouth, nose and jaw"	What parts of the face should the medical surgical mask cover?
nasal bridge	What is the metal strip of a medical surgical mask?
the perimeter of the mask fits the face adequately	How should the mask be adjusted?
medical protective mask	What are the steps for wearing a mask?
Check the expiration date of the mask and the outer packaging	What are the steps for wearing a medical protective mask?
convex	What shape is the side of the mask that faces outward?
lower lacing	What part of the mask should you first set?
Touch the fingertips of both hands inward to press the nasal clip and gradually move outward to shape the clip	What is the first step in wearing a medical surgical mask?
air leakage	What should not happen when blowing and inhaling a medical surgical mask?
ties	What should be discarded in the medical (yellow) garbage can?
masks	What do special people wear?
Pregnant women	Who should pay attention to their own conditions and choose products with better comfort?
a doctor	Who should patients with chronic heart and lung diseases seek professional guidance from?
children's protective masks	What should children wear when their faces are small?
How often should I change my mask	How often should a mask be changed if it is wet or soiled?
replace it immediately	"If the mask is wet or soiled by secretions and the protective performance is reduced, what is it recommended to do?"
the degree of cleanliness	What determines whether a person should wear a mask for a longer period of time?
the correct way	How should a mask be removed after wearing?
disposable	What type of masks are not recommended?
"dust, bacteria and viruses"	What accumulated on the outer layer of the mask may contaminate the inner surface and cause infection?
in a clean self-sealing bag	How should a mask be folded in order to avoid contamination of the inside by the outside?
wash your hands in time	What should you do after taking off the mask?
"when they are deformed, wet or soiled"	When are masks worn by healthy people usually replaced?
household waste classification	What are the requirements for the disposal of masks worn by healthy people?
medical waste	What should masks worn by suspected cases or confirmed patients be treated as?
water or alcohol	What should masks never be washed with?
Cutting and shredding	"What is not recommended for handling, as droplets may contaminate the scissors?"
increase the risk of viral infection	Do not use boiling water to scald the mask?
a long time	How long should you wear a mask to avoid skin damage?
shoddy products	What should we avoid using when wearing a mask for a long time?
hand disinfection	What should you do when it is necessary to wash your hands regularly?
after coughing and sneezing	When should you wash your hands?
alcohol	What does no-rinse hand sanitizer contain?
20 seconds	How long should a hand sanitizer rubbing time be?
to effectively remove pathogenic bacteria	Why should you use hand sanitizer?
soap	What type of hand sanitizer should be kept clean and dry?
disposable packages	What is the best way to use hand sanitizer?
30 days	How long after opening the bottle should you use alcohol-based hand sanitizer?
Hand washing steps	What should be done correctly?
Wet your hands under running water	How should you wash your hands?
hand sanitizer	What does soap stand for?
15 seconds	How long should you rub your hands?
Rinse hands thoroughly under running water	How should you wash your hands after using hand sanitizer?
diligent ventilation	What should you do to maintain a clean living and working environment?
30 minutes	How long does it take to ventilate the house?
circulating air disinfection machines	What are recommended to be used with windows and doors closed?
monthly	How often should air conditioning filters be cleaned and disinfected?
30 minutes	How long does a chlorine disinfection solution need to be sprayed until wet?
"third, fourth, fifth and sixth"	Which parts of this chapter are relevant to the cleaning and disinfection methods for different environments?
visit friends and relatives and gather less	What should you do during the Spring Festival?
wear a mask	What should you do when you go out?
(1) Wearing a mask	"What does the chapter ""I. General precautions"" say to wear a mask when you go out?"
Wash your hands regularly	What should you do during the Spring Festival?
Hand washing	"What can be found in ""(2) Washing hands regularly""?"
diligent ventilation	What should you do to prevent colds and the adaptation of the population?
(3) diligent ventilation	"What is the name of the chapter in ""I. General preventive measures""?"
cover your mouth and nose with tissues or clothing	What should you do when coughing or sneezing?
"toothbrushes, tableware, meals, drinks, towels, bath towels, bed sheets, etc"	What items should you avoid sharing with others?
"disinfect dishes, furniture, floors, etc., and dry clothes and blankets regularly"	What should you do regularly?
game	"What is a wild animal that you shouldn't touch, buy or eat?"
N95	What type of mask should you wear at home?
During the leave	"When should you eat lightly, pay attention to nutrition and exercise properly?"
fever clinic	"Where should you go if you have suspected symptoms of fever, malaise, cough, sore throat, chest tightness, dyspnea"
2	"What chapter describes symptoms, medical care, isolation and treatment?"
level of personal protection	What can you refer to the following table for?
colds	"When opening windows in winter, attention needs to be paid to what?"
hand sanitizer and running water	What should you wash your hands with after coming home?
"The floor, desktop, furniture and other object surfaces"	What should be cleaned every day and disinfected regularly?
75%	What percentage of alcohol is used to wipe non-corrosive resistant objects?
15 minutes	"How long does it take to disinfect water cups, tableware, and other utensils after washing?"
500mg/L	What is the effective chlorine content of cleaning tools?
a timely manner	How should a guest disinfect the relevant object surfaces in the room?
"latex or nitrile gloves, waterproof aprons"	What type of protection should a person wear during disinfection?
expiration date and dilution ratio	What should you confirm about the disinfectant and mix it well?
2	How many family members should be sent to the doctor in a timely manner?
"living room floor, bathroom, furniture countertops, door handles, eating utensils, etc."	What is an example of a contact item that should be disinfected after a consultation?
after the patient leaves	When should a patient with novel coronavirus infection be disinfected?
Center for Disease Control and Prevention	Who is responsible for the final disinfection of a patient's home?
14 days	How long should other family members be under medical observation?
private cars	What type of vehicles do not need to be disinfected?
temperature difference	What do you need to pay attention to when opening windows in winter?
underground parking lot	Where is it recommended to close the windows and open the air conditioning internal circulation way to ventilation?
hand sanitizer	Drivers and passengers are advised to use what for hand hygiene after entering a public place and returning to the vehicle?
a legal and effective disinfectant or disinfectant wipes for disinfection	What should be used to disinfect the relevant object surfaces in the vehicle?
disinfectant wipes	What can be used to disinfect object surfaces?
hand and skin	"Iodophor, chlorinated disinfectants and hydrogen peroxide disinfectants are recommended for what types of disinfection?"
a medical surgical mask	What should suspicious symptoms wear when riding in a private car?
a person with suspicious symptoms gets out of the car	When should a person open windows for ventilation and disinfect the surfaces of objects they touch?
after riding in the private car with novel coronavirus infection	When should the final disinfection of a private car be done?
object surfaces	What is the scope of final disinfection for private cars?
air conditioning systems	What is the scope of final disinfection for private cars?
Chlorine dioxide	What is the recommended disinfectant for private cars?
CDC agencies	Who operates the specific disinfection method for private cars?
14 days	How long should co-passengers be under medical observation?
"5"""	What is the number of document requirements for the pneumonia mechanism issued by the State Council?
novel coronavirus infection	What is the name of the infection that should be included in the work plan?
I	What is the work plan on community prevention and control of pneumonia outbreak of novel coronavirus infection?
"Party and government-led, community mobilization, the implementation of grid-based, carpet management, the prevention and control measures to the letter"	What are the work requirements?
"early detection, early reporting, early isolation, early diagnosis, early treatment"	What principle should be implemented?
II	What is the relevant definition of Community Community?
urban and rural communities	"What does ""Community Community"" refer to?"
street offices or township people's governments	Who is the Community Community under the jurisdiction of?
B	What is the community outbreak division 1?
No cases were found in the community	What means that no confirmed cases of pneumonia with novel coronavirus infection were found among the community residents?
no confirmed cases of pneumonia with novel coronavirus infection were found among the community residents	What is the result of the community outbreak division 1?
2	How many cases of pneumonia are there in the community?
cases or outbreaks	What are there in the community that are defined as the presence of one confirmed case of pneumonia with novel coronavirus infection in a community population that
pneumonia	What is a case in the community defined as the presence of one confirmed case of?
2 or more confirmed cases in a small area	What is an outbreak defined as?
14 days	How long does it take for an outbreak to occur?
Community transmission outbreak	What is it called when there are two or more cases of infection of unknown origin within 14 days?
14 days	How long does it take for two or more cases of unknown origin to spread in the community?
division of the epidemic area	What is the epidemic point?
Epidemic site	What is the area where the case may have contaminated identified as an outbreak site?
3 days before the onset of the disease	How long before the patient visits an outbreak site?
"one or several households, one or several offices, train or bus cars, the same flight, the same ward, the same building, etc"	What is an outbreak site generally defined as?
the Law of the People's Republic of China on the Prevention and Control of Infectious Diseases	What law determines if a community-transmitted outbreak is identified as an infected area?
close contacts	"What is a case after the onset of one of the following exposure scenarios, but did not take effective protection?"
working in close proximity to the case or sharing the same classroom or living in the same house as the case	What is an example of a person who has close contact with a case?
"medical staff, family members or other persons who have similar close contact with the case"	Who is responsible for direct treatment and care of the case?
travel on the same means of transport as the case	What is one way to have close contact with personnel?
close contact	What are passengers and crew members found to be in with the patient after investigation and assessment?
The site investigator	Who evaluates personnel who are deemed to be in contact with other close contacts?
environmental health management	What is one of the measures to prevent cases from being found in the community?
street (township) and community (village)	What types of cadres should be the main focus?
health	What is everyone the first person responsible for?
sentinel hospitals	Where do people with novel coronavirus infections go to?
Daily information	What is released to suggest travel and travel risks?
4	What is the management of returnees from infected areas?
14 days	How long should people self-isolate from infected areas?
follow-up observation	What should you keep in touch with local medical personnel or the CDC for during the isolation period?
environmental remediation	What is a major part of the community's vector-biological prevention and control?
Timely	How should the community organize comprehensive vector control and extermination to effectively reduce the density of vector organisms?
Material preparation	What should communities and families stock up on essential prevention and control items and supplies?
close contact management and disinfection	"Along with environmental health management, what other measures are included in the strategy of ""internal prevention of spread and external prevention of export""?"
Close contact management	"What is the strategy of ""internal prevention of spread and external prevention of export""?"
centralized observation	What type of sites should be clearly defined where available?
monitor changes in their own situation more sensitively and keep records	What should the subjects of daily follow-up visits instruct them to do?
isolation control and transfer of patients to designated hospitals	Make preparations for what?
disinfected public places	What should the community clean and assist the CDC to disinfect?
8 measures	"How many measures does the strategy of ""internal prevention of spread and external prevention of export"" include?"
blockade	What can communities classified as infected areas take measures to do if necessary?
"Restrict or stop activities such as fairs, rallies and other gatherings of people in the community"	What is one way to restrict the gathering of people?
"suspend work, business and classes"	What should be done if necessary?
leave or contact the hospital promptly	What should staff do if symptoms of novel coronavirus infection are detected?
Maintain air circulation in public places	What should the public do to prevent the spread of the disease?
air conditioning filter	What should be cleaned regularly?
hand sanitizer	What should washrooms be equipped with to ensure that water supply facilities are working properly?
disinfection spray	What should be used to disinfect the air when necessary?
Keep the environment clean and clear the garbage in time	What should the public do to keep the environment clean?
avoiding places with heavy traffic and poor air circulation	What should the public avoid in areas where the disease is endemic?
Workplace Commuting to and from work	What should the public avoid wearing a medical mask?
"walk, ride or take private cars or shuttles to and from work"	What is the best way to avoid public transportation?
public trams	What type of transportation is preferred if you have to take public transportation?
a mask	What should you wear throughout the journey to avoid touching objects in the car with your hands?
touching objects in the car with your hands	What should you avoid during the journey?
after removing the mask	When should you wash your hands when you return home?
75%	How much alcohol should be used to wipe your cell phone and keys?
multi-person gatherings	What type of gatherings should you avoid?
disinfected	What must be done to public areas daily?
to avoid mixing	Why should the cleaning utensils used in public areas be separated?
spray	How is disinfection carried out in bathrooms?
Central air conditioning system fan coils	What should be disinfected in normal use?
the exhaust branch	What should be closed after the evacuation of personnel?
return air	What should be completely closed to ensure that the system runs with all fresh air?
disinfect the garbage cans twice a day with 75% alcohol or chlorine-containing disinfectant	What should be done to garbage cans during the epidemic prevention period?
temperature test	What should you do before entering the office building?
low	On what floors can passengers take the stairs on foot?
toilet paper	What should you carry with you?
toilet paper	What should be properly disposed of after use?
Stand on both sides of the hall door while waiting for the elevator	What should you do to avoid touching the passengers coming out of the elevator car face to face?
press the button outside the elevator hall	What should a passenger do to prevent the elevator from closing?
more than one stranger	How many strangers should you avoid riding in the elevator with?
wait patiently for the next elevator	What can passengers who have enough time do?
to carry things and reduce the contact between your belongings and the elevator car	Why should you not use the elevator?
Wash and disinfect your hands promptly after riding in the elevator	What should you do after riding in the elevator?
feverish people	What type of people have a need to take the elevator?
ventilation fans	What should be kept open for a long time for elevators with ventilation fans installed in the cabin?
ventilation fans	What is not installed in the cabin of an elevator?
10 minutes	How long should each ventilation time be?
pneumonia epidemic	When can local disinfection and full disinfection be alternated?
the elevator operation should be stopped immediately and disposed of in accordance with the requirements of the health prevention department	What should happen if a confirmed or suspected case is found to have ridden in an elevator?
trained personnel with certain knowledge of disinfection	Who should perform elevator disinfection?
"wear work clothes, gloves, work shoes, masks, hats, goggles, etc."	What should employees wear when needed to perform elevator disinfection?
when necessary	"When should personnel wear work clothes, gloves, shoes, masks, hats, goggles, etc.?"
disinfection medicine and items	What should be prepared before the elevator is disinfected?
first be stopped and warning signs set	What should be done before the elevator is disinfected?
Clean the elevator thoroughly and then disinfect it	What is the first step in elevator disinfection?
half an hour	How long should the car be irradiated by ultraviolet light?
disinfectant	"What can be used to disinfect the button panel, handrail, and other parts frequently touched by passengers?"
sprayed and coated with a small amount of spraying bottle	How can hall door and car wall be disinfected?
wring out the wet rag and wipe the key panel and other parts	What should you do after disinfection to avoid corrosion of the elevator's electronic components?
wet rag	What can be used to remove parts of the elevator?
retrieve the warning sign	What should you do after the elevator is disinfected?
in bags	Where should protective equipment be brought back for disposal?
more than 1 meter	What is the minimum distance between people in the office?
six-step	What is the method for hand washing in the office?
Daily disinfection of shared items in the office	What is one way to disinfect common items in the office?
75%	How much alcohol can be used in disinfecting wipes?
four times	How much can disinfecting wipes be increased to if used frequently?
wash hands before and after passing paper documents	What should you do when working in the office?
telephone and video conferencing	What can be used as much as possible to reduce centralized meetings?
face-to-face meetings	What type of meetings should all participants wear masks and wash their hands to disinfect before entering the meeting room?
1 meter	How long should a meeting be separated by?
once	How often should the window be opened for ventilation when a meeting is too long?
the venue and furniture	What must be disinfected after a meeting?
teaware	What should be disinfected by soaking in boiling water?
a mask	What are visitors required to wear to disinfect teaware?
temperature test	What should you first conduct before entering the office building?
No	What is the answer to a temperature test and normal body temperature conditions before entering the building for public work?
masks	What should outsiders wear on both sides of the elevator?
staggered meals	What type of meals should canteens adopt?
bring their own lunch boxes and bring them back to the office for meals after purchase to avoid crowding	What is it recommended that employees do to avoid crowding?
once a day	How often is the restaurant disinfected?
Disinfection of tableware	What is required at high temperature?
nutritious meals	"What is it recommended that be prepared, light and palatable?"
Official Travel Travelers	Who must wear masks to travel?
more than 1 meter	What is the minimum distance from human contact?
75%	How much alcohol is recommended to clean the interior and door handles of a shuttle bus?
75%	How much alcohol should the shuttle bus be wiped with to disinfect the interior and door handles after use?
"Logisticians Service personnel, security personnel and cleaning personnel"	Who must wear masks when working?
disposable rubber gloves	What must canteen procurement staff wear to avoid direct hand contact with meat and poultry raw materials?
disposable rubber gloves	What must cleaning staff wear when working?
Security personnel	Who must wear masks and inquire and register the status of outsiders?
Technical Guidelines for Public Transport Disinfection Operations	What is the name of the public transportation disinfection operation technical guide?
technical guide I	What is the scope of public transport disinfection operation?
pneumonia	What is an epidemic of?
public transport staff need to carry out the following tasks	What do public transport staff need to do during an epidemic of novel coronavirus infection pneumonia?
object surface disinfection	What should public transport staff do a good job of?
the environment on public transportation should be kept clean and sanitary	What is a daily requirement of public transportation staff?
chlorine disinfectant	What should be sprayed or wiped with to disinfect internal object surfaces?
disinfectants	What should be used when vomiting occurs on public transportation?
1000mg/L chlorine disinfectant or 500mg/L chlorine dioxide disinfectant	What can be wiped or sprayed for disinfection when there are no visible contaminants?
30 minutes	How long should the disinfection time be?
strengthen the ventilation and air exchange	What should public transport staff do to prevent pneumonia?
natural ventilation or mechanical ventilation	What can be used to strengthen ventilation and air exchange?
low speed	At what speed can windows be opened on short-distance buses?
ultra-low volume spray	"Peroxyacetic acid, chlorine-containing disinfectants, chlorine dioxide and hydrogen peroxide are selected under unmanned conditions using what method?"
personal protection	What should public transport staff pay attention to?
30 minutes	How long should it take for reused gloves to be disinfected?
professional	Personal protection is carried out under the guidance of who?
Hand hygiene	What should be strengthened by staff at all times?
hand hygiene	What should be performed by staff at all times?
alcohol	What type of quick-drying hand sanitizer is available?
hand sanitizers	What may contain chlorine or hydrogen peroxide?
Establishment of an emergency area	What should be done on public transportation to prevent pneumonia?
emergency areas	What should be set up on public transportation?
Health education	What should travelers always pay attention to the prevention and control of on public transport?
public transport	Where should travelers always pay attention to the prevention and control of health education?
Wear masks and gloves	What are travelers operating guidelines?
medical surgical masks	What type of mask is recommended for travelers taking public transportation?
30 minutes	How long does it take to circulate steam or boiling disinfection?
Hand hygiene	What should travelers enhance during the trip?
hand hygiene	What should travelers pay attention to during the trip?
hydrogen peroxide	What type of hand sanitizer can be used under special conditions?
maintain distance	What should travelers pay attention to when traveling on public transportation?
keep a certain distance between each other	What should travelers try to do when traveling on public transportation?
Actively cooperate with the staff	What should travelers do when traveling on public transportation?
